test	status	suite	shard	exit	cycles	wall_s	perm	detail
test_bac_cl.TestSpecCrossCheckGaps::test_update_bac_status_not_called_when_no_change	PASS	block-BAC	none			0		
test_bac_cl.TestSpecCrossCheckMisc::test_clear_states_requires_committed_pc	PASS	block-BAC	none			0		
test_bac_cl.TestSpecCrossCheckMisc::test_deactivate_thread_ifc_exists	PASS	block-BAC	none			0		
test_bac_cl.TestSpecCrossCheckMisc::test_deactivate_thread_uses_reset_state	PASS	block-BAC	none			0		
test_bac_cl.TestSpecCrossCheckMisc::test_param_validation_fetch_target_width	PASS	block-BAC	none			0		
test_bac_cl.TestSquashHandling::test_squash_bpu_histories	FAIL	block-BAC	none			0		assert 0 == 1  +  where 0 = len([]) self = <BAC.test_bac_cl.TestSquashHandling object at 0x7f873bed6090>      def test_squash_bpu_histories(self):         """squashBpuHistories calls bpu_squash_to with oldest FTQ anchor."""         bac = make_bac()         call_log = []              def mock_squash_to(req):             call_log.append(req)              bac.bpu_squash_to.method = mock_squash_to    
test_bac_cl.TestSquashHandling::test_squash_flushes_ftq	PASS	block-BAC	none			0		
test_bac_cl.TestSquashHandling::test_squashing_one_cycle_transient	PASS	block-BAC	none			0		
test_bac_cl.TestTickBehavior::test_status_change_flag	PASS	block-BAC	none			0		
test_bac_cl.TestTickBehavior::test_tick_no_signals_running	PASS	block-BAC	none			0		
test_bac_cl.TestTickBehavior::test_tick_not_running_no_generation	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePC::test_ft_consumed_exit_inst	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePC::test_non_branch_advance	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePC::test_pred_taken_return	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_exit_branch_no_history_creates_placeholder	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_invalid_request_returns_default	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_multi_branch_microop_locks_ftq	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_no_ftq_entry_creates_placeholder	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_non_exit_branch_creates_placeholder	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_normal_match_exit_branch	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecode::test_type_mismatch_squashes_and_locks	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecodeTypeMismatch::test_type_match_normal_path	PASS	block-BAC	none			0		
test_bac_cl.TestUpdatePreDecodeTypeMismatch::test_type_mismatch_squashes_and_locks_ftq	PASS	block-BAC	none			0		
test_bimodal_cl.TestBimodalLookup::test_initial_prediction_is_not_taken	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalLookup::test_lookup_returns_prediction	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalSquash::test_squash_releases_checkpoint	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalTrain::test_train_decrements_counter_on_not_taken	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalTrain::test_train_increments_counter_on_taken	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalTrainSquashed::test_train_squashed_does_not_update_counter	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalTrainSquashed::test_train_squashed_releases_checkpoint	PASS	block-BPredUnit	none			0		
test_bimodal_cl.TestBimodalUpdateHist::test_update_hist_is_noop	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPU2CyclePipeline::test_1cycle_response_is_immediate	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPU2CyclePipeline::test_2cycle_req_ready_deasserted_during_processing	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPU2CyclePipeline::test_2cycle_req_ready_reasserted_after_tick	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPU2CyclePipeline::test_2cycle_response_not_immediate	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPU2CyclePipeline::test_2cycle_response_valid_after_tick	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPUPerfCounters::test_perf_branches_increments_on_predict	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPUPerfCounters::test_perf_mispredicts_increments_on_mispredict_commit	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBPUSquashTo::test_squash_to_removes_entries_from_anchor	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestBPUSquashTo object at 0x7efca0fbea50>      def test_squash_to_removes_entries_from_anchor(self):         """squash_to keeps the anchor entry and frees all younger entries."""         bpu = make_bpu()         # Predict two branches         resp1 = bpu.predict_req(             BPUP
test_bpred_unit_cl.TestBTBUpdateAtSquash::test_corrective_squash_no_btb_update_when_flag_false	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBTBUpdateAtSquash::test_corrective_squash_no_btb_update_when_not_taken	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBTBUpdateAtSquash::test_corrective_squash_updates_btb_when_updateBTBAtSquash	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBasicPrediction::test_predict_btb_hit_returns_taken	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestBasicPrediction::test_predict_btb_miss_returns_not_taken	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestDrainComplete::test_drain_complete_false_when_cpred_ckpt_not_empty	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestDrainComplete::test_drain_complete_false_when_history_not_empty	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestDrainComplete::test_drain_complete_true_after_commit	FAIL	block-BPredUnit	none			0		assert False is True  +  where False = <o3.bpred_unit_cl._DrainCompleteResp object at 0x7efca02b79a0>.complete  +    where <o3.bpred_unit_cl._DrainCompleteResp object at 0x7efca02b79a0> = s.drain_complete_req(None)  +      where s.drain_complete_req = s.drain_complete_req self = <BPredUnit.test_bpred_unit_cl.TestDrainComplete object at 0x7efca0ef5490>      def test_drain_complete_true_after_commit
test_bpred_unit_cl.TestDrainComplete::test_drain_complete_true_when_empty	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestDrainComplete::test_drain_complete_with_ipred_checks_ipred_ckpt	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestHistFullBackPressure::test_predict_does_not_modify_cpred_when_full	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestHistFullBackPressure::test_predict_does_not_modify_ras_when_full	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestHistFullBackPressure::test_predict_returns_hist_full_when_buffer_full	PASS	block-BPredUnit	none			0		
